iter	Passed	Remaining
1428	19900	7951
1429	19915	7938
1430	19929	7924
1431	19942	7910
1432	19955	7895
1433	19968	7881
1434	19981	7867
1435	19993	7852
1436	20006	7838
1437	20020	7824
1438	20033	7810
1439	20047	7796
1440	20064	7783
1441	20078	7769
1442	20092	7755
1443	20106	7741
1444	20119	7727
1445	20132	7713
1446	20145	7698
1447	20158	7684
1448	20171	7670
1449	20184	7656
1450	20197	7641
1451	20210	7627
1452	20223	7613
1453	20236	7599
1454	20251	7585
1455	20266	7571
1456	20279	7558
1457	20293	7543
1458	20306	7529
1459	20319	7515
1460	20332	7501
1461	20345	7486
1462	20359	7472
1463	20372	7458
1464	20385	7444
1465	20398	7430
1466	20411	7416
1467	20426	7402
1468	20442	7389
1469	20456	7375
1470	20469	7361
1471	20482	7346
1472	20495	7332
1473	20509	7318
1474	20522	7304
1475	20535	7290
1476	20548	7276
1477	20562	7262
1478	20575	7248
1479	20588	7233
1480	20601	7219
1481	20617	7206
1482	20631	7192
1483	20644	7178
1484	20658	7164
1485	20671	7150
1486	20684	7136
1487	20698	7122
1488	20711	7107
1489	20724	7093
1490	20737	7079
1491	20750	7065
1492	20764	7051
1493	20776	7036
1494	20795	7024
1495	20809	7010
1496	20822	6996
1497	20836	6982
1498	20849	6968
1499	20862	6954
1500	20875	6939
1501	20888	6925
1502	20901	6911
1503	20914	6897
1504	20927	6883
1505	20941	6869
1506	20954	6855
1507	20967	6840
1508	20982	6827
1509	20996	6813
1510	21010	6799
1511	21024	6785
1512	21037	6771
1513	21050	6757
1514	21063	6743
1515	21076	6728
1516	21089	6714
1517	21102	6700
1518	21115	6686
1519	21128	6672
1520	21141	6658
1521	21155	6644
1522	21171	6630
1523	21184	6616
1524	21197	6602
1525	21210	6588
1526	21223	6574
1527	21236	6560
1528	21249	6545
1529	21262	6531
1530	21275	6517
1531	21287	6503
1532	21301	6489
1533	21313	6474
1534	21326	6460
1535	21341	6446
1536	21355	6433
1537	21368	6419
1538	21382	6405
1539	21395	6390
1540	21408	6376
1541	21420	6362
1542	21434	6348
1543	21446	6334
1544	21460	6320
1545	21472	6305
1546	21485	6291
1547	21498	6277
1548	21511	6263
1549	21526	6249
1550	21542	6236
1551	21555	6222
1552	21568	6208
1553	21582	6194
1554	21595	6180
1555	21608	6165
1556	21621	6151
1557	21634	6137
1558	21647	6123
1559	21660	6109
1560	21673	6095
1561	21688	6081
1562	21702	6067
1563	21718	6054
1564	21730	6040
1565	21743	6026
1566	21757	6012
1567	21773	5998
1568	21787	5984
1569	21800	5970
1570	21813	5956
1571	21825	5942
1572	21838	5928
1573	21852	5914
1574	21866	5900
1575	21879	5886
1576	21893	5872
1577	21909	5859
1578	21923	5845
1579	21937	5831
1580	21950	5817
1581	21965	5803
1582	21979	5789
1583	21993	5776
1584	22007	5762
1585	22021	5748
1586	22035	5734
1587	22048	5720
1588	22065	5707
1589	22079	5693
1590	22094	5679
1591	22109	5666
1592	22123	5652
1593	22137	5638
1594	22151	5624
1595	22165	5610
1596	22179	5597
1597	22194	5583
1598	22208	5569
1599	22222	5555
1600	22235	5541
1601	22249	5527
1602	22265	5514
1603	22278	5500
1604	22292	5486
1605	22305	5472
1606	22318	5458
1607	22331	5443
1608	22344	5429
1609	22356	5415
1610	22369	5401
1611	22383	5387
1612	22396	5373
1613	22409	5359
1614	22423	5345
1615	22437	5331
1616	22451	5317
1617	22465	5304
1618	22479	5290
1619	22492	5275
1620	22505	5261
1621	22518	5247
1622	22531	5233
1623	22545	5219
1624	22557	5205
1625	22570	5191
1626	22583	5177
1627	22597	5163
1628	22612	5150
1629	22627	5136
1630	22640	5122
1631	22653	5108
1632	22666	5094
1633	22679	5079
1634	22692	5065
1635	22706	5051
1636	22718	5037
1637	22732	5023
1638	22745	5009
1639	22759	4996
1640	22772	4981
1641	22785	4967
1642	22802	4954
1643	22815	4940
1644	22829	4926
1645	22842	4912
1646	22855	4898
1647	22868	4884
1648	22881	4870
1649	22894	4856
1650	22908	4842
1651	22921	4828
1652	22933	4814
1653	22946	4800
1654	22960	4786
1655	22975	4772
1656	22990	4759
1657	23004	4745
1658	23018	4731
1659	23031	4717
1660	23044	4703
1661	23057	4689
1662	23070	4675
1663	23083	4661
1664	23097	4647
1665	23111	4633
